,,,,5m9wys,6fyu3t,7vht8f,9jrsa2,bvbsan,jkvt5d,kf45h5,n56re9,wrxkf8,ym36vd
185,145,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.0,1.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
185,145,1.0,1.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
185,145,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
185,145,1.1,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.1,1.4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
185,145,1.1,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.2,1.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.2,1.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.2,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.2,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.2,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
185,145,1.3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.3,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.3,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.3,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.3,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,145,1.3,1.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,150,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,150,1.0,1.1,,,,,,,,,,0
185,150,1.0,1.2,,,,,,,,,,0
185,150,1.0,1.3,,,,,,,,,,0
185,150,1.0,1.4,,,,,,,,,,0
185,150,1.0,1.5,,,,,,,,,,0
185,150,1.1,1.0,,,,,,,,,,0
185,150,1.1,1.1,,,,,,,,,,0
185,150,1.1,1.2,,,,,,,,,,0
185,150,1.1,1.3,,,,,,,,,,0
185,150,1.1,1.4,,,,,,,,,,0
185,150,1.1,1.5,,,,,,,,,,0
185,150,1.2,1.0,,,,,,,,,,0
185,150,1.2,1.1,,,,,,,,,,0
185,150,1.2,1.2,,,,,,,,,,0
185,150,1.2,1.3,,,,,,,,,,0
185,150,1.2,1.4,,,,,,,,,,0
185,150,1.2,1.5,,,,,,,,,,0
185,150,1.3,1.0,,,,,,,,,,0
185,150,1.3,1.1,,,,,,,,,,0
185,150,1.3,1.2,,,,,,,,,,0
185,150,1.3,1.3,,,,,,,,,,0
185,150,1.3,1.4,,,,,,,,,,0
185,150,1.3,1.5,,,,,,,,,,0
185,155,1.0,1.0,,,,,,,,,,0
185,155,1.0,1.1,,,,,,,,,,0
185,155,1.0,1.2,,,,,,,,,,0
185,155,1.0,1.3,,,,,,,,,,0
185,155,1.0,1.4,,,,,,,,,,0
185,155,1.0,1.5,,,,,,,,,,0
185,155,1.1,1.0,,,,,,,,,,0
185,155,1.1,1.1,,,,,,,,,,0
185,155,1.1,1.2,,,,,,,,,,0
185,155,1.1,1.3,,,,,,,,,,0
185,155,1.1,1.4,,,,,,,,,,0
185,155,1.1,1.5,,,,,,,,,,0
185,155,1.2,1.0,,,,,,,,,,0
185,155,1.2,1.1,,,,,,,,,,0
185,155,1.2,1.2,,,,,,,,,,0
185,155,1.2,1.3,,,,,,,,,,0
185,155,1.2,1.4,,,,,,,,,,0
185,155,1.2,1.5,,,,,,,,,,0
185,155,1.3,1.0,,,,,,,,,,0
185,155,1.3,1.1,,,,,,,,,,0
185,155,1.3,1.2,,,,,,,,,,0
185,155,1.3,1.3,,,,,,,,,,0
185,155,1.3,1.4,,,,,,,,,,0
185,155,1.3,1.5,,,,,,,,,,0
